FilePath,Project,CatchQuantity,CatchSizeLOC,CatchSizeSLOC,CaughtExceptions,TotalPossibleExceptions,PercentageOfCaughtExceptions
/Users/asiftanim/Downloads/hibernate-orm-5.0.0.Final/hibernate-ehcache/src/test/java/org/hibernate/cache/ehcache/internal/strategy/ItemValueExtractor.java,hibernate-5.0,0,0,0,0,0,0.0
/Users/asiftanim/Downloads/hibernate-orm-5.0.0.Final/hibernate-ehcache/src/test/java/org/hibernate/test/cache/EhcacheStatsImplTest.java,hibernate-5.0,0,0,0,0,0,0.0
/Users/asiftanim/Downloads/hibernate-orm-5.0.0.Final/hibernate-ehcache/src/test/java/org/hibernate/test/cache/HibernateCacheTest.java,hibernate-5.0,3,11,12,0,3,0.0
/Users/asiftanim/Downloads/hibernate-orm-5.0.0.Final/hibernate-ehcache/src/test/java/org/hibernate/test/cache/ehcache/VersionedItem.java,hibernate-5.0,0,0,0,0,0,0.0
/Users/asiftanim/Downloads/hibernate-orm-5.0.0.Final/hibernate-ehcache/src/test/java/org/hibernate/test/cache/ehcache/EhCacheRegionFactoryImpl.java,hibernate-5.0,2,0,0,0,2,0.0
/Users/asiftanim/Downloads/hibernate-orm-5.0.0.Final/hibernate-ehcache/src/test/java/org/hibernate/test/cache/ehcache/EhCacheTest.java,hibernate-5.0,3,0,0,0,3,0.0
/Users/asiftanim/Downloads/hibernate-orm-5.0.0.Final/hibernate-ehcache/src/test/java/org/hibernate/test/cache/ehcache/Item.java,hibernate-5.0,0,0,0,0,0,0.0
/Users/asiftanim/Downloads/hibernate-orm-5.0.0.Final/hibernate-ehcache/src/test/java/org/hibernate/test/cache/ehcache/EhCacheRegionTest.java,hibernate-5.0,0,0,0,0,0,0.0
/Users/asiftanim/Downloads/hibernate-orm-5.0.0.Final/hibernate-ehcache/src/test/java/org/hibernate/test/domain/HolidayCalendar.java,hibernate-5.0,1,0,0,0,1,0.0
/Users/asiftanim/Downloads/hibernate-orm-5.0.0.Final/hibernate-ehcache/src/test/java/org/hibernate/test/domain/VersionedItem.java,hibernate-5.0,0,0,0,0,0,0.0
/Users/asiftanim/Downloads/hibernate-orm-5.0.0.Final/hibernate-ehcache/src/test/java/org/hibernate/test/domain/UuidItem.java,hibernate-5.0,0,0,0,0,0,0.0
/Users/asiftanim/Downloads/hibernate-orm-5.0.0.Final/hibernate-ehcache/src/test/java/org/hibernate/test/domain/EventManager.java,hibernate-5.0,0,0,0,0,0,0.0
/Users/asiftanim/Downloads/hibernate-orm-5.0.0.Final/hibernate-ehcache/src/test/java/org/hibernate/test/domain/Account.java,hibernate-5.0,0,0,0,0,0,0.0
/Users/asiftanim/Downloads/hibernate-orm-5.0.0.Final/hibernate-ehcache/src/test/java/org/hibernate/test/domain/Event.java,hibernate-5.0,0,0,0,0,0,0.0
/Users/asiftanim/Downloads/hibernate-orm-5.0.0.Final/hibernate-ehcache/src/test/java/org/hibernate/test/domain/Person.java,hibernate-5.0,0,0,0,0,0,0.0
/Users/asiftanim/Downloads/hibernate-orm-5.0.0.Final/hibernate-ehcache/src/test/java/org/hibernate/test/domain/PhoneNumber.java,hibernate-5.0,0,0,0,0,0,0.0
/Users/asiftanim/Downloads/hibernate-orm-5.0.0.Final/hibernate-ehcache/src/test/java/org/hibernate/test/domain/Item.java,hibernate-5.0,0,0,0,0,0,0.0
/Users/asiftanim/Downloads/hibernate-orm-5.0.0.Final/hibernate-ehcache/src/main/java/org/hibernate/cache/ehcache/SingletonEhCacheRegionFactory.java,hibernate-5.0,3,0,0,0,3,0.0
/Users/asiftanim/Downloads/hibernate-orm-5.0.0.Final/hibernate-ehcache/src/main/java/org/hibernate/cache/ehcache/internal/regions/EhcacheTimestampsRegion.java,hibernate-5.0,0,0,0,0,0,0.0
/Users/asiftanim/Downloads/hibernate-orm-5.0.0.Final/hibernate-ehcache/src/main/java/org/hibernate/cache/ehcache/internal/regions/EhcacheTransactionalDataRegion.java,hibernate-5.0,13,51,57,0,13,0.0
/Users/asiftanim/Downloads/hibernate-orm-5.0.0.Final/hibernate-ehcache/src/main/java/org/hibernate/cache/ehcache/internal/regions/EhcacheEntityRegion.java,hibernate-5.0,0,0,0,0,0,0.0
/Users/asiftanim/Downloads/hibernate-orm-5.0.0.Final/hibernate-ehcache/src/main/java/org/hibernate/cache/ehcache/internal/regions/EhcacheQueryResultsRegion.java,hibernate-5.0,0,0,0,0,0,0.0
/Users/asiftanim/Downloads/hibernate-orm-5.0.0.Final/hibernate-ehcache/src/main/java/org/hibernate/cache/ehcache/internal/regions/EhcacheCollectionRegion.java,hibernate-5.0,0,0,0,0,0,0.0
/Users/asiftanim/Downloads/hibernate-orm-5.0.0.Final/hibernate-ehcache/src/main/java/org/hibernate/cache/ehcache/internal/regions/EhcacheDataRegion.java,hibernate-5.0,6,0,0,1,6,16.666666666666664
/Users/asiftanim/Downloads/hibernate-orm-5.0.0.Final/hibernate-ehcache/src/main/java/org/hibernate/cache/ehcache/internal/regions/EhcacheNaturalIdRegion.java,hibernate-5.0,0,0,0,0,0,0.0
/Users/asiftanim/Downloads/hibernate-orm-5.0.0.Final/hibernate-ehcache/src/main/java/org/hibernate/cache/ehcache/internal/regions/package-info.java,hibernate-5.0,0,0,0,0,0,0.0
/Users/asiftanim/Downloads/hibernate-orm-5.0.0.Final/hibernate-ehcache/src/main/java/org/hibernate/cache/ehcache/internal/regions/EhcacheGeneralDataRegion.java,hibernate-5.0,9,0,0,0,9,0.0
/Users/asiftanim/Downloads/hibernate-orm-5.0.0.Final/hibernate-ehcache/src/main/java/org/hibernate/cache/ehcache/internal/nonstop/NonstopAwareNaturalIdRegionAccessStrategy.java,hibernate-5.0,15,0,0,15,15,100.0
/Users/asiftanim/Downloads/hibernate-orm-5.0.0.Final/hibernate-ehcache/src/main/java/org/hibernate/cache/ehcache/internal/nonstop/NonstopAccessStrategyFactory.java,hibernate-5.0,0,0,0,0,0,0.0
/Users/asiftanim/Downloads/hibernate-orm-5.0.0.Final/hibernate-ehcache/src/main/java/org/hibernate/cache/ehcache/internal/nonstop/NonstopAwareCollectionRegionAccessStrategy.java,hibernate-5.0,11,0,0,11,11,100.0
/Users/asiftanim/Downloads/hibernate-orm-5.0.0.Final/hibernate-ehcache/src/main/java/org/hibernate/cache/ehcache/internal/nonstop/NonstopAwareEntityRegionAccessStrategy.java,hibernate-5.0,15,0,0,15,15,100.0
/Users/asiftanim/Downloads/hibernate-orm-5.0.0.Final/hibernate-ehcache/src/main/java/org/hibernate/cache/ehcache/internal/nonstop/HibernateNonstopCacheExceptionHandler.java,hibernate-5.0,0,0,0,0,0,0.0
/Users/asiftanim/Downloads/hibernate-orm-5.0.0.Final/hibernate-ehcache/src/main/java/org/hibernate/cache/ehcache/internal/nonstop/package-info.java,hibernate-5.0,0,0,0,0,0,0.0
/Users/asiftanim/Downloads/hibernate-orm-5.0.0.Final/hibernate-ehcache/src/main/java/org/hibernate/cache/ehcache/internal/util/HibernateEhcacheUtils.java,hibernate-5.0,0,0,0,0,0,0.0
/Users/asiftanim/Downloads/hibernate-orm-5.0.0.Final/hibernate-ehcache/src/main/java/org/hibernate/cache/ehcache/internal/util/package-info.java,hibernate-5.0,0,0,0,0,0,0.0
/Users/asiftanim/Downloads/hibernate-orm-5.0.0.Final/hibernate-ehcache/src/main/java/org/hibernate/cache/ehcache/internal/strategy/ReadWriteEhcacheCollectionRegionAccessStrategy.java,hibernate-5.0,0,0,0,0,0,0.0
/Users/asiftanim/Downloads/hibernate-orm-5.0.0.Final/hibernate-ehcache/src/main/java/org/hibernate/cache/ehcache/internal/strategy/TransactionalEhcacheNaturalIdRegionAccessStrategy.java,hibernate-5.0,5,0,0,0,5,0.0
/Users/asiftanim/Downloads/hibernate-orm-5.0.0.Final/hibernate-ehcache/src/main/java/org/hibernate/cache/ehcache/internal/strategy/TransactionalEhcacheEntityRegionAccessStrategy.java,hibernate-5.0,5,0,0,0,5,0.0
/Users/asiftanim/Downloads/hibernate-orm-5.0.0.Final/hibernate-ehcache/src/main/java/org/hibernate/cache/ehcache/internal/strategy/NonStrictReadWriteEhcacheNaturalIdRegionAccessStrategy.java,hibernate-5.0,0,0,0,0,0,0.0
/Users/asiftanim/Downloads/hibernate-orm-5.0.0.Final/hibernate-ehcache/src/main/java/org/hibernate/cache/ehcache/internal/strategy/ReadWriteEhcacheEntityRegionAccessStrategy.java,hibernate-5.0,0,0,0,0,0,0.0
/Users/asiftanim/Downloads/hibernate-orm-5.0.0.Final/hibernate-ehcache/src/main/java/org/hibernate/cache/ehcache/internal/strategy/EhcacheAccessStrategyFactory.java,hibernate-5.0,0,0,0,0,0,0.0
/Users/asiftanim/Downloads/hibernate-orm-5.0.0.Final/hibernate-ehcache/src/main/java/org/hibernate/cache/ehcache/internal/strategy/ReadWriteEhcacheNaturalIdRegionAccessStrategy.java,hibernate-5.0,0,0,0,0,0,0.0
/Users/asiftanim/Downloads/hibernate-orm-5.0.0.Final/hibernate-ehcache/src/main/java/org/hibernate/cache/ehcache/internal/strategy/ReadOnlyEhcacheNaturalIdRegionAccessStrategy.java,hibernate-5.0,0,0,0,0,0,0.0
/Users/asiftanim/Downloads/hibernate-orm-5.0.0.Final/hibernate-ehcache/src/main/java/org/hibernate/cache/ehcache/internal/strategy/NonStrictReadWriteEhcacheCollectionRegionAccessStrategy.java,hibernate-5.0,0,0,0,0,0,0.0
/Users/asiftanim/Downloads/hibernate-orm-5.0.0.Final/hibernate-ehcache/src/main/java/org/hibernate/cache/ehcache/internal/strategy/AbstractEhcacheAccessStrategy.java,hibernate-5.0,0,0,0,0,0,0.0
/Users/asiftanim/Downloads/hibernate-orm-5.0.0.Final/hibernate-ehcache/src/main/java/org/hibernate/cache/ehcache/internal/strategy/AbstractReadWriteEhcacheAccessStrategy.java,hibernate-5.0,0,0,0,0,0,0.0
/Users/asiftanim/Downloads/hibernate-orm-5.0.0.Final/hibernate-ehcache/src/main/java/org/hibernate/cache/ehcache/internal/strategy/ReadOnlyEhcacheCollectionRegionAccessStrategy.java,hibernate-5.0,0,0,0,0,0,0.0
/Users/asiftanim/Downloads/hibernate-orm-5.0.0.Final/hibernate-ehcache/src/main/java/org/hibernate/cache/ehcache/internal/strategy/NonStrictReadWriteEhcacheEntityRegionAccessStrategy.java,hibernate-5.0,0,0,0,0,0,0.0
/Users/asiftanim/Downloads/hibernate-orm-5.0.0.Final/hibernate-ehcache/src/main/java/org/hibernate/cache/ehcache/internal/strategy/EhcacheAccessStrategyFactoryImpl.java,hibernate-5.0,0,0,0,0,0,0.0
/Users/asiftanim/Downloads/hibernate-orm-5.0.0.Final/hibernate-ehcache/src/main/java/org/hibernate/cache/ehcache/internal/strategy/package-info.java,hibernate-5.0,0,0,0,0,0,0.0
/Users/asiftanim/Downloads/hibernate-orm-5.0.0.Final/hibernate-ehcache/src/main/java/org/hibernate/cache/ehcache/internal/strategy/TransactionalEhcacheCollectionRegionAccessStrategy.java,hibernate-5.0,3,0,0,0,3,0.0
